name,Description
altocumulus,"a principal middle level cloud type (cloud genus), white or gray, or both white and gray, which occurs as a layer or patch with a wave aspect, the elements of which appear as laminae, rounded masses, rolls, etc; these elements usually are sharply outlined, but they may become partly fibrous or diffuse; they may or may not be merged, and they generally have shadowed parts; most of the regularly arranged altocumulus elements have an apparent width of 1 - 5 degrees."
altostratus,"a principal middle level cloud type (cloud genus) in the form of a grayish (gray) or bluish cloud sheet or layer of striated, fibrous, or uniform appearance, totally or partly covering the sky; the layer has parts thin enough to reveal the position of the sun; halo phenomena do not usually occur."
anabatic wind,any wind blowing up a steep incline or mountain; the opposite of katabatic wind.
analysis,"in synoptic meteorology, a detailed study of the state of the atmosphere over a particular region based on the actual observations."
anchor ice,submerged ice which is attached to the bottom.
anemometer,"an instrument which measures wind speed or wind speed and direction; a cup anemometer measures the wind speed from the speed of rotation of a windmill which consist of 3 or 4 hemispherical or conical cups, each fixed to the ends of horizontal arms attached to a vertical axis; a byram anemometer is a variety of the cup anemometer; a counting anemometer has cups or a fan whose rotation is transmitted to a technical counter which integrates directly the air movement speed; a hand anemometer is small portable anemometer held at arm's length by an observer making a wind speed measurement; a pressure tube anemometer (dines anemometer) is an instrument which derives wind speed from measurements of the dynamic wind pressures - wind blowing into a tube develops a pressure greater than the static pressure, while wind blowing across a tube develops a pressure less than the static, this pressure difference is proportional to the square of the wind speed."
anemorumbograph,a Russian anemograph (recording anemometer) which is equipped with a device to record the wind direction in addition to wind speed.
anemorumbometer,a Russian anemometer combined with a vane to determine the wind direction.
aneroid barometer,"an instrument for measuring atmospheric pressure; it is constructed on the following principles: an aneroid capsule (vidie capsule, which is a thin, disk-shaped box or capsule, usually metallic) is partially evacuated of gas, and is restrained from collapsing by an external or internal spring; the deflection of the spring will be nearly proportional to the difference between the internal and external pressures; magnification of the spring deflection is obtained both by connecting capsules in series and by mechanical linkages."
anomaly,deviation of a meteorological quantity value in a given region from the normal (mean) value for the same period.
antarctic circle,"the line of latitude 66° 34′ S (often taken as 66.5° S); along this line the sun does not set on the day of the summer solstice, and does not rise on the day of the winter solstice."
antarctic polar front,also known as the antarctic convergence; the southern front of the antarctic circumpolar current that separates the antarctic zone in the south from the polar frontal zone in the north; taken by many to delineate the actual northern boundary of the antarctic zone; characterized by sea surface temperatures near 5°6° C and a salinity minimum of 33.834.0 psu produced by high rainfall.
antarctic zone,"the region between the antarctic circle (66° 34′ S) and the South Pole; climatically, the limit of the zone may be set at about 60° S, poleward of which the prevailing westerly winds give place to easterly or variable winds; over most of this region the average temperature does not rise above 0°C (32°F) even in summer."
anti-icing,"the prevention of ice accumulation of aircraft, ships and other objects; the most common measures are heating or applying a dressing by brush or spray to weaken adhesion and facilitate removal."
anti-syngenetic ice wedge,"an ice wedge that grows progressively downwards into a receding slope, in a direction normal (perpendicular) to the surface."
anticyclone,"area of increased atmospheric pressure relative to surrounding pressure field in the atmosphere; outlined by closed isobars on a synoptic surface chart, and by closed contours on a constant-pressure chart; used interchangeably with high.."
anticyclonic circulation,"system of air movements (atmospheric circulation) associated with an anticyclone, which is clockwise in the northern hemisphere and counter-clockwise in the southern hemisphere."
apparent heat capacity,the amount of heat required to raise the temperature of a unit mass of frozen ground by one degree.
approximate freezing index,"the cumulative number of degree-days below 0 degrees Celsius for a given time period, calculated from the mean monthly temperatures for a specific station without making corrections for positive degree-days in spring and fall."
approximate thawing index,"the cumulative number of degree-days above 0 degrees Celsius for a given time period, calculated from the mean monthly temperatures for a specific station without making corrections for negative degree-days in spring and fall."
arctic,(from Greek arktikos which means northern) northern polar region of the earth which includes almost the whole area of the Arctic Ocean and adjacent areas of Eurasian and North American continents.
arctic air mass,mass of very cold air in the arctic regions which invades lower latitudes at irregular intervals.
arctic circle,"a line of latitude at approximately 66 degrees 33 minutes N (66°33’ N) that marks the border of the Arctic, the northernmost region of Earth. Along this line, the sun does not set on the day of the summer solstice, and does not rise on the day of the winter solstice."
arctic front,"(1) the semi-permanent, semi-continuous front between the deep, cold arctic air and the shallower, basically less cold polar air of northern latitudes (2) south boundary of the arctic air mass."
arctic haze,"haze in arctic regions which reduces horizontal and slant visibility and which may extend to a height of about 10 km; it appears blue-grey when viewed away from the sun, and reddish-brown toward it."
arctic high,"a weak high which appears over the arctic basin during late spring, summer and early autumn; one of the centers of action in the atmosphere."
arctic mist,a mist of ice crystals; a very light ice fog.
arctic oscillation,"an atmospheric circulation pattern in which the atmospheric pressure over the polar regions varies in opposition with that over middle latitudes (about 45 degrees N) on time scales ranging from weeks to decades; the oscillation extends through the depth of the troposphere, and from January to March, it extends upward into the stratosphere where it modulates in the strength of the westerly vortex that encircles the arctic polar cap region; the north atlantic oscillation and arctic oscillation are different ways of describing the same phenomenon."
arctic sea smoke,evaporation (steam) fog produced above a surface of open water within arctic ice when the air is stable and relatively cold.
arctic tree line,the northern limit of tree growth; the sinuous boundary between tundra and boreal forest; taken by many to delineate the actual southern boundary of the arctic zone.
arctic zone,"(1) geographically, the area north of the arctic circle (66° 34′ N) (2) (same as tundra) biogeographically, the area extending northward from the arctic tree line; also used for the level above the timber line in mountains."
arete,"sharp, narrow ridge formed as a result of glacial erosion from both sides."
artificial ground freeezing,the process of inducing or maintaining a frozen condition in earth materials by artificial means.
atmosphere,"the envelope of air surrounding the earth and bound to it more or less permanently by virtue of the earth's gravitational attraction; the system whose chemical properties, dynamic motions, and physical processes constitute the subject matter of meteorology."
atmospheric circulation,"the large-scale movement of air, and the means by which heat is distributed on the surface of the Earth; may vary from year to year."
atmospheric phenomenon,"as commonly used in weather observing practice, an observable occurrence of particular physical significance within the atmosphere; from the viewpoint of weather observations, the atmospheric phenomena include all hydrometeors (precipitation types and fogs), blowing snow, thunderstorms, tornadoes, waterspouts, and others."
atmospheric pressure,pressure (force per unit area) exerted by the atmosphere on any surface by virtue of its weight; it is equivalent to the weight of a vertical column of air extending above a surface of unit area to the outer limit of the atmosphere.
atmospheric radiation,longwave (infrared) radiation emitted by or being propagated through the atmosphere.
aurora,"luminous phenomena, in the form of arcs, bands, draperies, or curtains in the high atmosphere over high latitudes; auroras are related to magnetic storms and the influx of charged particles from the sun, the phenomena are called aurora borealis in the northern hemisphere and aurora australis in the southern hemisphere."
avalanche,"mass of snow which becomes detached and slides down a slope, often acquiring great bulk by fresh addition as it descends."
average value,"arithmetic mean (m) of a number (n) of values (x1, x2, ... xn), defined by the equation: m = sxi/n; annual average value is calculated from 12 monthly means; daily average (or mean) value is calculated from 24 hourly readings of a meteorological element, or often from the average of the daily maximum and minimum values (for example, of temperature); monthly average is usually calculated as the average of the daily average values."
Azores high,"the semipermanent subtropical high over the North Atlantic Ocean, especially when it is located over the eastern part of the ocean; the same high over the western part of the Atlantic is called the Bermuda high; on mean charts of sea level pressure, this high is one of the primary centers of action in northern latitudes."
band ogives,alternate bands of light and dark on a glacier; usually found below steep narrow icefalls and thought to be the result of different flow and ablation rates between summer and winter.
banded cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which soil particles form subhorizontal layers."
barograph,a barometer that records barometric pressure over time (days or weeks).
barometer,an instrument for measuring atmospheric pressure; two types of barometers are commonly used in meteorology: the mercury barometer and the aneroid barometer.
barrens,areas of discontinuous vegetation cover in the polar semi-desert of the high arctic.
basal cryopeg,"a layer of unfrozen ground that is perennially cryotic (t < 0 degrees Celsius), forming the basal portion of the permafrost."
basal cryostructure,the cryostructure of a frozen deposit of boulders that is saturated with ice.
basal sliding,the sliding of a glacier over bedrock.
basal-layered cryostructure,the cryostructure of a frozen layered deposit of gravel and boulders that is saturated with ice.
beaded stream,a stream characterized by narrow reaches linking pools or small lakes.
Beaufort Gyre,"an ocean and ice circulation pattern in the Beaufort Sea, north of Alaska. This gyre moves in a clockwise direction, fed by an average high-pressure system that fosters anti-cyclonic winds. Ice that forms in or drifts into the Beaufort Gyre has historically remained in the Arctic ice system for years, accumulating snow and thickening each winter. Beginning in the late 1990s, the ice began melting away while in the southern parts of the gyre, before completing the circulation."
bedrock,"hard-packed rock lying below the Earths surface; lies in beds or layers; can be variable across geographic space; above bedrock is a layer of broken, weathered rock."
belt,a long area of pack ice from a few km to more than 100 kilometers in width.
bergschrund,crevasse that separates flowing ice from stagnant ice at the head of a glacier.
bergy bit,large chunk of glacier ice (a very small iceberg) floating in the sea; bergy bits are usually less than 5 meters (15 feet) in size and are generally spawned from disintegrating icebergs.
Bermuda high,"the semipermanent subtropical high over the North Atlantic Ocean, especially when it is located over the western part of the ocean; the same high over the eastern part of the Atlantic is called the Azores high; on mean charts of sea level pressure, this high is one of the primary centers of action in northern latitudes."
beset,situation of a vessel surrounded by ice and unable to move.
bight,"an extensive crescent-shaped indentation in the ice edge, formed either by wind or current."
blind lead,a lead closed off on all sides within the ice pack.
blizzard,"winds of at least 35 miles per hour along with considerable falling and/or blowing snow reducing visibility to less than one-quarter mile for a period of at least three hours (extremely cold temperatures are often associated with dangerous blizzard conditions, but are not a formal part of the modern definition)."
block field,a surficial layer of angular shattered rocks formed in either modern or pleistocene periglacial environments.
blow hole,opening through a snow bridge into a crevasse or system of crevasses which are otherwise sealed by snow bridges; a snowdrift usuallly forms on the lee side.
blowing snow,an ensemble of snow particles raised by the wind to moderate or great heights above the ground; the horizontal visibility at eye level is generally very poor.
bora,a cold wind blowing down an incline; a kind of katabatic wind.
boreal forest,"the forested region that adjoins the tundra along the arctic tree line, which has two main divisions: its northern portion is a belt of taiga or boreal woodland, while its southern portion is a belt of true forest, mainly conifers but with some hardwoods; on its southern boundary the boreal forest passes into mixed forest or parkland, prairie, or steppe, depending on the rainfall."
bottom bergs,"icebergs that originate from near the bottom of a glacier; the color is usually black from trapped rock material or dark blue because of old, coarse, bubble-free ice; they sit low in the water due to the weight of the embedded rocks."
bottom temperature of snow cover,temperature measured at the base of the snow cover during mid- to late-winter (February/March).
branched-valley glacier,glacier that has one or more tributary glaciers that flow into it; distinguished from a simple valley glacier that has only a single tributary glacier.
brash ice,"accumulation of floating ice made up of fragments not more than 2 meters (6.6 feet) across, the wreckage of other forms of ice."
brine,"small droplets of highly saline water that form in pockets between ice crystals, as sea ice forms and expels salt into the underlying ocean water."
BTS method,"method to predict the presence or absence of permafrost in a mountain area, using measurements of the bottom temperature of snow cover mid- to late-winter."
bummocks,"smooth hills of ice that form on the bottom of sea ice from eroding keels, particularly during the summer melt."
buoy weather station,"a buoy, either fixed or floating, which carries instruments for sensing various meteorological elements and for transmitting the data by radio."
buried ice,ice formed or deposited on the ground surface and later covered by sediments.
Buys Ballots Law,"Meterological law which states that if you are standing with your back to the wind in the Northern Hemisphere, low pressure will be on your left, and high pressure will be on your right. Ballot was a 19th century Dutch climatalogist."
calve,break off from a larger ice shelf or ice sheet into the water.
calving,"process by which ice breaks off a glacier's terminus; usually the term is reserved for tidewater glaciers or glaciers that end in lakes, but it can refer to ice that falls from hanging glaciers."
calving glacier,"glacier that loses material by calving, usually a glacier that terminates in sea, lake, or river water."
carbon sink,A reservoir of carbon dioxide that is increasing in size.
catchment glacier,a semipermanent mass of firn formed by drifted snow behind obstructions or in the ground; also called a snowdrift glacier or a drift glacier.
cave ice,ice formed in a closed or open cave.
chattermarks,striations or marks left on the surface of exposed bedrock caused by the advance and retreat of glacier ice.
chinook,a warm wind blowing down an incline; a kind of katabatic wind.
circumpolar vortex,the large-scale cyclonic circulation in the middle and upper troposphere centered generally in the polar region; also called polar vortex.
cirque,bowl shape or amphitheater usually sculpted out of the mountain terrain by a cirque glacier.
cirque glacier,"glacier that resides in basins or amphitheaters near ridge crests; most cirque glaciers have a characteristic circular shape, with their width as wide or wider than their length."
cirrocumulus,"a principal high-level cloud type (cloud genus), appearing as a thin, white patch or layer of cloud without shading, composed of very small elements in the form of grains, ripples, etc., merged or separated, and more or less regularly arranged; most of the elements have an apparent width of less than 1 degree."
cirrostratus,"a principal high-level cloud type (cloud genus), appearing as a transparent, whitish cloud veil of fibrous (hair-like) or smooth appearance, totally or partially covering the sky, and often producing halo phenomena, either partial or complete."
cirrus,"a principal high-level cloud type (cloud genus), appearing as detached clouds in the form of white, delicate filaments or white or mostly white patches or narrow bands; these clouds have a fibrous (hair-like) appearance, or a silky sheen, or both; because cirrus elements are too narrow, they do not produce a complete circular halo."
clear sky,sky with a total cloud cover of less than one okta (or one-tenth in the united states).
climate,"synthesis of weather conditions in a given area, characterized by long-term statistics (mean values, variances, probabilities of extreme values, etc.) of the meteorological elements in that area; polar climate (arctic climate) is generally the climate of a geographical polar region, most commonly taken to be a climate which is too cold to support the growth of trees."
climate change,"a study dealing with variations in climate on many different time scales from decades to millions of years, and the possible causes of such variations; (1) in the most general sense, the term climate change encompasses all forms of climatic inconstancy (that is, any differences between long-term statistics of the meteorological elements calculated for different periods but relating to the same area) regardless of their statistical nature or physical causes; climate change may result from such factors as changes in solar activity, long-period changes in the earth's orbital elements (eccentricity, obliquity of the ecliptic, precession of equinoxes), natural internal processes of the climate system, or anthropogenic forcing (for example, increasing atmospheric concentrations of carbon dioxide and other greenhouse gases) (2) the term climate change is often used in a more restricted sense, to denote a significant change (such as a change having important economic, environmental and social effects) in the mean values of a meteorological element (in particular temperature or amount of precipitation) in the course of a certain period of time, where the means are taken over periods of the order of a decade or longer."
climate model,"representation of the climate system based on the mathematical equations governing the behavior of the various components of the system and including treatment of key physical processes and interactions, cast in a form suitable for numerical approximation with computers."
climate variability,"(1) in the most general sense, the term climate variability denotes the inherent characteristic of climate which manifests itself in changes with time; the degree of climate variability can be described by the differences between long-term statistics of meteorological elements calculated for different periods, (in this sense, the measure of climate variability is the same as the measure of climate change) (2) the term climate variability is often used to denote deviations of climate statistics over a given period of time (such as a specific month, season or year) from the long-term climate statistics relating to the corresponding calendar period; (in this sense, climate variability is measured by those deviations, which are usually termed anomalies)."
climatological atlas,atlas composed mainly of climatological charts; it represents especially the monthly and annual distributions of the principal climatic elements of a specific region for a relatively long period.
climatology,"the scientific study of climate; the aspect of meteorology which studies processes of climate formation, distribution of climates over the globe, analysis of the causes of differences of climate (physical climatology), and the application of climatic data to the solution of specific design or operational problems (applied climatology); climatology may be further subdivided according to purpose or point of view: agricultural climatology, air-mass climatology, aviation climatology, bioclimatology, dynamic climatology, medical climatology, macroclimatology, mesoclimatology, microclimatology, paleoclimatology, synoptic climatology, etc.."
close cavity ice,"ice formed in a closed space, cavity or cave in permafrost."
close pack ice,composed of close ice that is mostly in contact; ice cover 7/10ths to 9/10ths.
closed talik,a layer or body of unfrozen ground occupying a depression in the permafrost table below a lake or river.
closed-system freezing,freezing that occurs under conditions that preclude the gain or loss of any water by the system.
closed-system pingo,a pingo formed by doming of frozen ground due to freezing of injected water supplied by expulsion of pore water during permafrost aggradation in the closed talik under a former water body.
cloud,"a hydrometeor consisting of a visible aggregate of minute particles of liquid water or ice, or both, suspended in the free air and usually not touching the earth's surface; it may also include larger particles of liquid water or ice (precipitation particles) and non-aqueous liquid or solid particles such as those present in fumes, smoke and dust (aerosols); cloudiness is the same as cloud cover; but usually it is used in a very general sense."
cloud amount,that portion of the sky cover which is attributed to clouds; the unit of measurement is the okta or tenths (meaning one-eighth or one-tenth) of the sky dome as seen by the observer.
coefficient of compressibility,"decrease in volume per unit volume of a substance resulting from a unit increase in pressure, under isothermic conditions."
cold front,any non-occluded front that moves in such a way so that colder air replaces warmer air; the leading edge of a relatively cold air mass.
cold glacier,"glacier in which most of the ice is below the pressure melting point; nonetheless, the glacier's surface may be susceptible to melt due to incoming solar radiation, and the ice at the rock/ice interface may be warmed as a result of the natural (geothermal) heat from the earth's surface."
cold low,"at a given level in the atmosphere, any low that is generally characterized by colder air near its center than around its periphery; the opposite of a warm low."
cold pole,the location that has the lowest annual mean temperature in its hemisphere.
collapse scar,that portion of a peatland where the whole or part of a palsa or peat plateau has thawed and collapsed to the level of the surrounding peatland.
composite wedge,a wedge showing evidence of both primary and secondary filling.
compression flow,flow that occurs when glacier motion is decelerating down-slope.
condensation,"the physical process by which a vapor becomes a liquid or solid; the opposite of evaporation; in meteorological usage, this term is applied only to transformation from vapor to liquid; any process in which a solid forms directly from its vapor is termed sublimation, as is the reverse process."
conduction,"the transport of energy entirely resulting from the random motions of individual molecules, and not from any concerted group movement; occurs in response to temperature gradients; contrasts with convection, in which energy is transported by molecules moving together in coherent groups."
congelation ice,an advanced form of new ice that forms as a stable sheet with a smooth bottom surface.
conglomeric cryogenic fabric,"a distinct soil micromorphology, resulting from the effects of freezing and thawing processes, in which coarser soil particles form compound arrangements."
consolidated pack ice,pack ice in which the floes are frozen together; ice cover 10/10ths.
construction methods in permafrost,special design and construction procedures required when engineering works are undertaken in permafrost areas.
constructive metamorphism,snow metamorphism that adds molecules to sharpen the comers and edges of an ice crystal.
continuous permafrost,"geographic area in which permafrost occurs everywhere beneath the exposed land surface with the exception of widely scattered sites, such as newly deposited unconsolidated sediments that have just been exposed to the freezing climate; mean annual soil surface temperatures are typically below -5 degrees Celsius (23 degrees Fahrenheit)."
continuous permafrost zone,the major subdivision of a permafrost region in which permafrost occurs everywhere beneath the exposed land surface with the exception of widely scattered sites.
convection,the transport of energy resulting from the concerted movement of molecules in coherent groups; contrasts with conduction in which energy is transported by the random motions of molecules; atmospheric convection is nearly always turbulent and results in the vertical transport and mixing of atmospheric properties.
convection cloud,"cumuliform cloud which forms in the atmosphere as a result of convection; such clouds are also called clouds of vertical development, a cloud that has its base in the low height range but extends upward into the middle or high altitudes."
coriolis force,"apparent force, due to the rotation of the earth, which acts normal to, and to the right of the velocity of a moving particle in the northern hemisphere, the movement of the particle being considered relative to that of the earth."
cornice,"an overhanging accumulation of ice and wind-blown snow, characteristically found on the edge of a ridge or cliff face."
crack,any fracture or rift in floating ice not sufficiently wide to be described as a lead.
creep,a way that snow or ice can move by deforming its internal structure.
creep of frozen ground,the slow deformation (or time-dependent shear strain) that results from long-term application of a stress too small to produce failure in the frozen material.
creep strength,the failure strength of a material at a given strain rate or after a given period under deviatoric stress.
crevasse,open fissure in the glacier surface.
crevasse hoar,"a kind of hoarfrost; ice crystals that develop by sublimation in glacial crevasses and in other cavities with cooled space and calm, still conditions under which water vapor can accumulate; physical origin is similar to depth hoar."
crust,"a hard snow surface lying upon a softer layer; crust may be formed by sun, rain or wind, and is described as breakable crust or unbreakable crust, depending upon whether it wil break under the weight of a turning skier."
crust-like cryostructure,"the cryostructure of a frozen deposit of angular blocks that are coated with ice, whereas large spaces between the blocks are not filled with ice."
cryoconite,"A deposit of dust and soot, often bound by microbial mats, that is formed on melting glaciers and ice sheets. The deposits are often found in pothole-like pockets on the ice surface."
cryofront,the boundary between cryotic and noncryotic ground as indicated by the position of the 0 degrees Celsius isotherm in the ground.
cryogenesis,"the combination of thermophysical, physico-chemical and physico-mechanical processes occurring in freezing, frozen and thawing earth materials."
cryogenic aquiclude,"a layer of ground which, because of its frozen state, has a low enough permeability to act as a confining bed for an aquifer."
cryogenic fabric,the distinct soil micromorphology resulting from the effects of freezing and thawing processes.
cryogenic temperature,"in international materials science, this term refers to temperatures generally below -50 degrees Celsius, but usually to temperatures within a few degrees of absolute zero (-273 degrees Celsius)."
cryolithology,"the study of the genesis, structure and lithology of frozen earth materials."
cryopedology,"the study of soils at temperatures below 0 degrees Celsius, with particular reference to soils subject to intensive frost action, and to soils overlying permafrost."
cryopeg,"a layer of unfrozen ground that is perennially cryotic (forming part of the permafrost), in which freezing is prevented by freezing-point depression due to the dissolved-solids content of the pore water."
cryoplanation,the process through which cryoplanation terraces form.
cryoplanation terrace,a step-like or table-like bench cut in bedrock in cold climate regions.
cryosol,"soil formed in either mineral or organic materials having permafrost either within 1 meter (3.3 feet) below the surface or, if the soil is strongly cryoturbated, within 2 meters (6.6 feet) below the surface, and having a mean annual ground temperature below 0 degrees Celsius."
cryosphere,"one of the earth's spheres of irregular form existing in the zone of interaction of the atmosphere, hydrosphere and lithosphere, distinguished by negative or zero temperature and the presence of water in the solid or super-cooled state; the term refers collectively to the portions of the earth where water is in solid form, including snow cover, floating ice, glaciers, ice caps, ice sheets, seasonally frozen ground and perennially frozen ground (permafrost)."
cryostructure,the structural characteristics of frozen earth materials.
cryosuction,a suction developed in freezing or partially frozen fine-grained materials as a result of temperature-dependent differences in unfrozen water content.
cryotexture,"the textural characteristics of frozen, fine-grained organic and mineral earth materials cemented together with ice."
cryotic ground,soil or rock at temperatures of 0 degrees Celsius or lower.
cryoturbate,a body of earth material moved or disturbed by frost action.
cryoturbation,"(1) (singular) a collective term used to describe all soil movements due to frost action (2) (plural) irregular structures formed in earth materials by deep frost penetration and frost action processes, and characterized by folded, broken and dislocated beds and lenses of unconsolidated deposits, included organic horizons and even bedrock."
cumuliform,"like cumulus; generally descriptive of all clouds; vertical development in the form of rising mounds, domes or towers; driven by thermal convection and have vertical velocities greater than 1 meter (3.3 feet) per second."
cumulonimbus,"a principal cloud type (cloud genus) of vertical development, exceptionally dense and vertically developed clouds, occurring either as isolated clouds or as a line or wall of clouds with separated upper portions; these clouds appear as mountains or huge towers, at least a part of the upper portions of which are usually smooth, fibrous, or striated, and almost flattened; this part often spreads out in the form of an anvil (incus) or vast plume; under the base of cumulonimbus, which is very dark, there frequently exist virga, precipitation, and low, ragged clouds, either merged with it or not; its precipitation is often heavy and always of a showery nature."
cumulus,"a principal low-level cloud type (cloud genus) in the form of individual, detached elements which are generally dense and possess sharp non-fibrous outlines; these elements develop vertically, appearing as rising mounds, domes, or towers, the upper parts of which often resembles a cauliflower; the sunlit parts of these clouds are mostly brilliant white; their bases are relatively dark and nearly horizontal; near the horizon the vertical development of cumulus often causes the individual clouds to appear merged; if precipitation occurs, it is usually of a showery nature."
cyclogenesis,process of initiation or intensification of a cyclonic circulation in the atmosphere; the opposite to cyclolysis.
cyclolysis,process of weakening or terminating of a cyclonic circulation in the atmosphere; the opposite of cyclogenesis.
cyclone,area in the atmosphere in which the pressures are lower than those of the surrounding region at the same level; it is represented on a synoptic chart by a system of isobars at a specified altitude level (or a system of contours at a specified pressure level) which enclose relatively low values of pressure (or altitude); a cyclone begins when a wave (young) cyclone forms and moves along a front; a mature cyclone has well-developed warm sectors and both cold and warm fronts; an occluded cyclone is that within which there has developed an occluded front.
cyclone ciruculation,"atmospheric circulation associated with a cyclone (depression, low pressure area); it is counterclockwise in the northern hemisphere and clockwise in the southern hemisphere."
cyclone movement,"the spatial displacement of a center of low pressure caused by the local redistribution of mass in the atmosphere; the trajectory of the center is often altered by heating or cooling on the air column, which can result from thermal fluxes at the surface or latent heat transformations associated with cloud formation and precipitation; these processes change the temperature distribution in the air column, resulting in density changes which modify the surface pressures."
data analysis,Provides the user the ability to calculate or compare data parameters.
de-icing,"the removal of ice accumulation on aircraft, ships and other objects by mechanical, thermal or chemical devices."
dead ice,any part of a glacier which has ceased to flow; dead ice is usually covered with moraine.
debris flow,"a sudden and destructive variety of landslide, in which loose material on a slope, with more than 50% of particles larger than sand size, is mobilized by saturation and flows down a channel or canyon."
deformability,"the ability of a material to change its shape or size under the influence of an external or internal agency, such as stress, temperature, or pore pressure."
degree of saturation,(1) the total degree of saturation of frozen soil is the ratio of the volume of ice and unfrozen water in the soil pores to the volume of the pores (2) the degree of saturation of frozen soil by ice is the ratio of the volume of ice in the soil pores to the volume of the pores.
